prefixes,wiki_lang_code,,bible_wiki_lang_code
bible_spanish-spain_150_biblecom_chap_ac,,,
bible_spanish-spain_149_biblecom_chap_ac,,,
bible_spanish-spain_147_biblecom_line_ac,,,
bible_southern-sotho_274_biblecom_chap_ac,,,
bible_southern-sotho_273_biblecom_chap_ac,,,
bible_southern-kisi_811_biblecom_chap_ac,,,
bible_southern-kisi_496_biblecom_chap_ac,,,
bible_south-ndebele_450_biblecom_chap_ac,,,
bible_sorani-kurdish_503_biblecom_chap_ac,,,
bible_somali_christos-c,,,
bible_somali_87_biblecom_line_ac,,,
bible_somali_827_biblecom_chap_ac,,,
bible_solomon-islands-pidgeon-english_615_biblecom_chap_ac,,,
bible_solomon-islands-pidgeon-english_614_biblecom_chap_ac,,,
bible_slovene_christos-c,,,
bible_slovak_christos-c,,,
bible_siyin-chin_326_biblecom_chap_ac,,,
bible_shona_32_biblecom_line_ac,,,
bible_seselwa-creole-french_1054_biblecom_chap_ac,,,
bible_seselwa-creole-french_1053_biblecom_chap_ac,,,
bible_scots-gaelic_1531_biblecom_chap_ac,,,
bible_sangtam-naga_1052_biblecom_chap_ac,,,
bible_san-blas-kuna_1028_biblecom_chap_ac,,,
bible_russian_christos-c,,,
bible_russian_853_biblecom_chap_ac,,,ru
bible_russian_840_biblecom_chap_ac,,,
bible_russian_385_biblecom_chap_ac,,,
bible_russian_313_biblecom_chap_ac,,,
bible_russian_143_biblecom_chap_ac,,,
bible_romanian_christos-c,,,
bible_romanian_903_biblecom_line_ac,,,ro
bible_romanian_191_biblecom_line_ac,,,
bible_romanian_1466_biblecom_line_ac,,,
bible_romanian_1454_biblecom_chap_ac,,,
bible_romanian_126_biblecom_chap_ac,,,
bible_riang-india_1059_biblecom_chap_ac,,,
bible_rade_1522_biblecom_chap_ac,,,
bible_q'eqchi'_christos-c,,,
bible_q'anjob'al_493_biblecom_chap_ac,,,
bible_poumei-naga_1049_biblecom_chap_ac,,,
bible_portuguese_christos-c,,,
bible_portuguese-portugal_215_biblecom_chap_ac,,,pt
bible_portuguese-brazil_277_biblecom_chap_ac,,,
bible_portuguese-brazil_212_biblecom_chap_ac,,,
bible_portuguese-brazil_211_biblecom_chap_ac,,,
bible_portuguese-brazil_1608_biblecom_chap_ac,,,
bible_portuguese-brazil_129_biblecom_chap_ac,,,
bible_poqomchi'_495_biblecom_chap_ac,,,
bible_polish_christos-c,,,
bible_polish_132_biblecom_chap_ac,,,pl
bible_pochuri-naga_1546_biblecom_chap_ac,,,
bible_phom-naga_1050_biblecom_chap_ac,,,
bible_pennsylvania-german_1455_biblecom_line_ac,,,
bible_pedi_256_biblecom_chap_ac,,,
bible_pedi_124_biblecom_chap_ac,,,
bible_papiamento_818_biblecom_chap_ac,,,
bible_papiamento_816_biblecom_chap_ac,,,
bible_panjabi_1687_biblecom_chap_ac,,,
bible_pangasinan_1166_biblecom_chap_ac,,,
bible_pampanga_1141_biblecom_chap_ac,,,
bible_paite_christos-c,,,
bible_obolo_1587_biblecom_chap_ac,,,
bible_nyishi_1536_biblecom_chap_ac,,,
bible_nyankole_1434_biblecom_chap_ac,,,
bible_nyanja_1068_biblecom_chap_ac,,,
bible_norwegian_christos-c,,,
bible_norwegian-nynorsk_120_biblecom_chap_ac,,,
bible_norwegian-nynorsk_119_biblecom_chap_ac,,,
bible_norwegian-bokmՂl_121_biblecom_line_ac,,,
bible_norwegian-bokma_30_biblecom_chap_ac,,,
bible_norwegian-bokma_29_biblecom_chap_ac,,,
bible_norwegian-bokma_102_biblecom_chap_ac,,,
bible_nivacla_1486_biblecom_chap_ac,,,
bible_nepali_christos-c,,,
bible_nepali_1483_biblecom_chap_ac,,,ne
bible_ndonga_372_biblecom_chap_ac,,,
bible_ndebele_1626_biblecom_line_ac,,,
bible_ndau_1694_biblecom_chap_ac,,,
bible_navajo_1098_biblecom_chap_ac,,,
bible_nandi_1585_biblecom_chap_ac,,,
bible_myanmar_christos-c,,,
bible_mundang_863_biblecom_chap_ac,,,
bible_mongolian_369_biblecom_chap_ac,,,
bible_mongolian_1590_biblecom_chap_ac,,,
bible_modern-greek_921_biblecom_chap_ac,,,el
bible_mbyaguarana_1066_biblecom_chap_ac,,,
bible_mbunda_627_biblecom_chap_ac,,,
bible_maring-naga_1544_biblecom_chap_ac,,,
bible_marathi_christos-c,,,
bible_marathi_1686_biblecom_chap_ac,,,mr
bible_maori_christos-c,,,
bible_maori_94_biblecom_line_ac,,,
bible_mam_561_biblecom_chap_ac,,,
bible_mam_491_biblecom_chap_ac,,,
bible_malay_402_biblecom_chap_ac,,,
bible_malay_377_biblecom_chap_ac,,,
bible_malayalam_christos-c,,,
bible_malayalam_1693_biblecom_chap_ac,,,ml
bible_malayalam_1685_biblecom_chap_ac,,,
bible_malagasy_christos-c,,,
bible_macedonian_311_biblecom_chap_ac,,,
bible_maale_1688_biblecom_chap_ac,,,
bible_lushai_253_biblecom_chap_ac,,,
bible_lushai_1048_biblecom_chap_ac,,,
bible_lozi_825_biblecom_chap_ac,,,
bible_lithuanian_christos-c,,,
bible_lithuanian_321_biblecom_chap_ac,,,
bible_lithuanian_310_biblecom_chap_ac,,,
bible_liberia-kpelle_1479_biblecom_chap_ac,,,
bible_liangmai-naga_1537_biblecom_chap_ac,,,
bible_lenje_552_biblecom_chap_ac,,,
bible_lengua_1476_biblecom_chap_ac,,,
bible_lamba_947_biblecom_chap_ac,,,
bible_lahu_91_biblecom_chap_ac,,,
bible_kumam_1441_biblecom_chap_ac,,,
bible_kuanyama_469_biblecom_chap_ac,,,
bible_korean_88_biblecom_chap_ac,,,ko
bible_korean_86_biblecom_chap_ac,,,
bible_korean_142_biblecom_chap_ac,,,
bible_konyak-naga_933_biblecom_chap_ac,,,
bible_kom-india_1542_biblecom_chap_ac,,,
bible_kok-borok_1540_biblecom_chap_ac,,,
bible_kikuyu_1622_biblecom_chap_ac,,,
bible_kikuyu_1202_biblecom_chap_ac,,,
bible_kikuyu_1201_biblecom_chap_ac,,,
bible_khoekhoe_548_biblecom_chap_ac,,,
bible_khiamniungan-naga_1058_biblecom_chap_ac,,,
bible_keley-i-kallahan_1450_biblecom_chap_ac,,,
bible_karbi_997_biblecom_chap_ac,,,
bible_kaqchikel_489_biblecom_chap_ac,,,
bible_kannada_christos-c,,,kn
bible_kannada_1692_biblecom_chap_ac,,,
bible_kahua_592_biblecom_chap_ac,,,
bible_kahua_589_biblecom_chap_ac,,,
bible_kadazan-dusun_172_biblecom_chap_ac,,,
bible_kachin_348_biblecom_chap_ac,,,
bible_k'iche'_490_biblecom_chap_ac,,,
bible_javanese_248_biblecom_chap_ac,,,
bible_jarai_894_biblecom_chap_ac,,,
bible_japanese_tok_tiny_81_biblecom_chap_ac,,,ja
bible_japanese-tok_christos-c,,,
bible_japanese-tok tiny_christos-c,,,
bible_izii_1601_biblecom_chap_ac,,,
bible_iu-mien_246_biblecom_chap_ac,,,
bible_iu-mien_233_biblecom_chap_ac,,,
bible_iu-mien_232_biblecom_chap_ac,,,
bible_iu-mien_220_biblecom_chap_ac,,,
bible_italian_christos-c,,,
bible_italian_80_biblecom_line_ac,,,it
bible_italian_78_biblecom_line_ac,,,
bible_italian_54_biblecom_chap_ac,,,
bible_italian_141_biblecom_chap_ac,,,
bible_italian_123_biblecom_chap_ac,,,
bible_italian_122_biblecom_chap_ac,,,
bible_inuktitut_-eastern-arctic_455_biblecom_chap_ac,,,
bible_inuktitut-labrador_803_biblecom_chap_ac,,,
bible_indonesian_christos-c,,,
bible_indonesian_306_biblecom_chap_ac,,,id
bible_indonesian_27_biblecom_chap_ac,,,
bible_imbabura-highland-quichua_264_biblecom_chap_ac,,,
bible_iloko_782_biblecom_chap_ac,,,
bible_ikwo_1599_biblecom_chap_ac,,,
bible_igbo_77_biblecom_chap_ac,,,ig
bible_icelandic_christos-c,,,
bible_iban_171_biblecom_chap_ac,,,
bible_hungarian_christos-c,,,
bible_hungarian_84_biblecom_chap_ac,,,
bible_huallaga-huanuco-quechua_1088_biblecom_chap_ac,,,
bible_hrangkhol_1018_biblecom_chap_ac,,,
bible_hmong-njua_1216_biblecom_chap_ac,,,
bible_hmong-daw_1525_biblecom_chap_ac,,,
bible_hmong-daw_1269_biblecom_chap_ac,,,
bible_hindi_christos-c,,,
bible_hindi_819_biblecom_chap_ac,,,hi
bible_hindi_1683_biblecom_chap_ac,,,
bible_hindi_1682_biblecom_chap_ac,,,
bible_hindi-roman-script_820_biblecom_chap_ac,,,
bible_hiligaynon_10_biblecom_chap_ac,,,
bible_hebrew_christos-c,,,
bible_hausa_71_biblecom_chap_ac,,,
bible_gujarati_1691_biblecom_chap_ac,,,gu
bible_guinea-kpelle_500_biblecom_chap_ac,,,
bible_guajajara_613_biblecom_chap_ac,,,
bible_guajajara_588_biblecom_chap_ac,,,
bible_greek_christos-c,,,
bible_german_christos-c,,,
bible_german_58_biblecom_line_ac,,,de
bible_german_57_biblecom_chap_ac,,,
bible_german_51_biblecom_line_ac,,,
bible_german_158_biblecom_chap_ac,,,
bible_gangte_1013_biblecom_chap_ac,,,
bible_ganda_1625_biblecom_chap_ac,,,
bible_ganda_1423_biblecom_chap_ac,,,
bible_french_christos-c,,,
bible_french_93_biblecom_chap_ac,,,fr
bible_french_64_biblecom_chap_ac,,,
bible_french_62_biblecom_chap_ac,,,
bible_french_131_biblecom_chap_ac,,,
bible_french_106_biblecom_chap_ac,,,
bible_finnish_christos-c,,,
bible_finnish_61_biblecom_chap_ac,,,
bible_finnish_60_biblecom_line_ac,,,
bible_finnish_365_biblecom_chap_ac,,,
bible_fijian_676_biblecom_chap_ac,,,
bible_fijian_675_biblecom_chap_ac,,,
bible_fijian_508_biblecom_line_ac,,,
bible_farsi_christos-c,,,
bible_farsi-persian_181_biblecom_chap_ac,,,fa
bible_farsi-persian_1619_biblecom_chap_ac,,,
bible_farsi-persian_136_biblecom_chap_ac,,,
bible_farsi-persian_118_biblecom_chap_ac,,,
bible_faroese_374_biblecom_chap_ac,,,
bible_falam-chin_389_biblecom_chap_ac,,,
bible_ezaa_1600_biblecom_chap_ac,,,
bible_esperanto_christos-c,,,
bible_esperanto_841_biblecom_line_ac,,,
bible_enxet_1480_biblecom_chap_ac,,,
bible_english_christos-c,,,
bible_english_97_biblecom_chap_ac,,,en
bible_english_90_biblecom_chap_ac,,,
bible_english_8_biblecom_chap_ac,,,
bible_english_821_biblecom_line_ac,,,
bible_english_72_biblecom_chap_ac,,,
bible_english_70_biblecom_chap_ac,,,
bible_english_69_biblecom_chap_ac,,,
bible_english_68_biblecom_chap_ac,,,
bible_english_59_biblecom_chap_ac,,,
bible_english_547_biblecom_line_ac,,,
bible_english_546_biblecom_line_ac,,,
bible_english_478_biblecom_chap_ac,,,
bible_english_477_biblecom_chap_ac,,,
bible_english_416_biblecom_chap_ac,,,
bible_english_406_biblecom_chap_ac,,,
bible_english_392_biblecom_chap_ac,,,
bible_english_37_biblecom_chap_ac,,,
bible_english_316_biblecom_line_ac,,,
bible_english_303_biblecom_chap_ac,,,
bible_english_296_biblecom_chap_ac,,,
bible_english_294_biblecom_chap_ac,,,
bible_english_206_biblecom_chap_ac,,,
bible_english_1_biblecom_line_ac,,,
bible_english_1588_biblecom_chap_ac,,,
bible_english_130_biblecom_chap_ac,,,
bible_english_1209_biblecom_chap_ac,,,
bible_english_1207_biblecom_chap_ac,,,
bible_english_1204_biblecom_chap_ac,,,
bible_english_1171_biblecom_line_ac,,,
bible_english_116_biblecom_chap_ac,,,
bible_english_114_biblecom_line_ac,,,
bible_english_111_biblecom_line_ac,,,
bible_english_110_biblecom_chap_ac,,,
bible_english_107_biblecom_chap_ac,,,
bible_english_1077_biblecom_chap_ac,,,
bible_english_105_biblecom_chap_ac,,,
bible_english_100_biblecom_chap_ac,,,
bible_eastern-huasteca-nahuatl_747_biblecom_chap_ac,,,
bible_eastern-bru_1422_biblecom_chap_ac,,,
bible_eastern-bolivian-guarana_972_biblecom_chap_ac,,,
bible_dutch_75_biblecom_chap_ac,,,nl
bible_dutch_328_biblecom_chap_ac,,,
bible_dutch_165_biblecom_line_ac,,,
bible_dutch_1276_biblecom_chap_ac,,,
bible_dari_341_biblecom_chap_ac,,,
bible_danish_christos-c,,,
bible_danish_49_biblecom_chap_ac,,,
bible_dadibi_1153_biblecom_chap_ac,,,
bible_czech_christos-c,,,
bible_czech_44_biblecom_line_ac,,,
bible_crimean-tatar_1550_biblecom_chap_ac,,,
bible_creole_christos-c,,,
bible_chuj_494_biblecom_chap_ac,,,
bible_chuj_492_biblecom_chap_ac,,,
bible_chinese-traditional-tok_jeiba_46_biblecom_chap_ac,,,zh
bible_chinese-traditional-tok_jeiba_414_biblecom_chap_ac,,,
bible_chinese-traditional-tok_jeiba_40_biblecom_chap_ac,,,
bible_chinese-traditional-tok_jeiba_139_biblecom_chap_ac,,,
bible_chinese-traditional-tok_jeiba_1392_biblecom_chap_ac,,,
bible_chinese-tok_christos-c,,,
bible_chinese-tok jeiba_christos-c,,,
bible_chinese-simplified-tok_jeiba_48_biblecom_ch_ac,,,
bible_chinese-simplified-tok_jeiba_48_biblecom_chap_ac,,,
bible_chinese-simplified-tok_jeiba_47_biblecom_ch_ac,,,
bible_chinese-simplified-tok_jeiba_47_biblecom_chap_ac,,,
bible_chinese-simplified-tok_jeiba_41_biblecom_ch_ac,,,
bible_chinese-simplified-tok_jeiba_41_biblecom_chap_ac,,,
bible_chinese-simplified-tok_jeiba_36_biblecom_ch_ac,,,
bible_chinese-simplified-tok_jeiba_36_biblecom_chap_ac,,,
bible_chinese-simplified-tok_jeiba_140_biblecom_ch_ac,,,
bible_chinese-simplified-tok_jeiba_140_biblecom_chap_ac,,,
bible_chimborazo-highland-quichua_262_biblecom_chap_ac,,,
bible_chechen_1513_biblecom_chap_ac,,,
bible_chang-naga_961_biblecom_chap_ac,,,
bible_central-yupik_1390_biblecom_chap_ac,,,
bible_central-huasteca-nahuatl_751_biblecom_chap_ac,,,
bible_central-bikol_890_biblecom_chap_ac,,,
bible_central-aymara_293_biblecom_chap_ac,,,
bible_cebuano_christos-c,,,
bible_cebuano_9_biblecom_chap_ac,,,
bible_cebuano_562_biblecom_chap_ac,,,
bible_caaar-highland-quichua_261_biblecom_chap_ac,,,
bible_bulgarian_christos-c,,,
bible_bulgarian_23_biblecom_chap_ac,,,bg
bible_bulgarian_22_biblecom_chap_ac,,,
bible_bulgarian_190_biblecom_chap_ac,,,
bible_bulgarian_1443_biblecom_chap_ac,,,
bible_biete_1532_biblecom_chap_ac,,,
bible_biatah-bidayuh_18_biblecom_chap_ac,,,
bible_berom_1591_biblecom_chap_ac,,,
bible_bengali_95_biblecom_chap_ac,,,bn
bible_bengali_809_biblecom_chap_ac,,,
bible_bengali_1690_biblecom_chap_ac,,,
bible_bengali_1681_biblecom_chap_ac,,,
bible_bengali_155_biblecom_chap_ac,,,
bible_bemba-zambia_1097_biblecom_chap_ac,,,
bible_batak-karo_35_biblecom_chap_ac,,,
bible_balinese_302_biblecom_chap_ac,,,
bible_azeri-persian-script_1161_biblecom_chap_ac,,,
bible_ayacucho-quechua_556_biblecom_chap_ac,,,
bible_australian-creole_1362_biblecom_chap_ac,,,
bible_arabic_christos-c,,,ar
bible_arabic_195_biblecom_chap_ac,,,
bible_arabic_153_biblecom_chap_ac,,,
bible_arabic_14_biblecom_chap_ac,,,
bible_arabic_101_biblecom_chap_ac,,,
bible_ao-naga_1008_biblecom_chap_ac,,,
bible_angami-naga_338_biblecom_chap_ac,,,
bible_amharic_1260_biblecom_chap_ac,,,
bible_amganad-ifugao_1356_biblecom_chap_ac,,,
bible_albanian_christos-c,,,
bible_albanian_7_biblecom_chap_ac,,,
bible_afrikaans_christos-c,,,
bible_afrikaans_6_biblecom_chap_ac,,,
bible_afrikaans_5_biblecom_chap_ac,,,
bible_afrikaans_50_biblecom_chap_ac,,,
bible_afrikaans_2_biblecom_chap_ac,,,
bible_afrikaans_117_biblecom_chap_ac,,,
bible_adi_1530_biblecom_chap_ac,,,
bible_acoli_733_biblecom_chap_ac,,,
bible_acoli_559_biblecom_chap_ac,,,
bible_achang_373_biblecom_chap_ac,,,
europarl_swedish,sv,,
europarl_swedish english,en,,
europarl_spanish,es,,
europarl_spanish english,en,,
europarl_slovene,sl,,
europarl_slovene english,en,,
europarl_slovak,sk,,
europarl_slovak english,en,,
europarl_romanian,ro,,
europarl_romanian english,en,,
europarl_portuguese,pt,,
europarl_portuguese english,en,,
europarl_polish,pl,,
europarl_polish english,en,,
europarl_lithuanian,lt,,
europarl_lithuanian english,en,,
europarl_latvian,lv,,
europarl_latvian english,en,,
europarl_italian,it,,
europarl_italian english,en,,
europarl_hungarian,hu,,
europarl_hungarian english,en,,
europarl_greek,el,,
europarl_greek english,en,,
europarl_german,de,,
europarl_german english,en,,
europarl_french,fr,,
europarl_french english,en,,
europarl_finnish,fi,,
europarl_finnish english,en,,
europarl_estonian,et,,
europarl_estonian english,en,,
europarl_dutch,nl,,
europarl_dutch english,en,,
europarl_danish,da,,
europarl_danish english,en,,
europarl_czech,cs,,
europarl_czech english,en,,
europarl_bulgarian,bg,,
europarl_bulgarian english,en,,
